title,description,street,city,state,postal_code,country,lat,lng,phone,fax,email,website,description_2,marker_id,is_disabled,open_hours,brand,special,slug,lang,pending,updated_on,logo_name,categories,order,update_id,area,district,county,meetings
FL Post 0271,,775 N Us Highway 1,Tequesta,FL,33469,United States,26.96919,-80.08701,561-746-9070,,FOP271@GMAIL.COM,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0271-tequesta,,,,Default,,0,104,Southern Area,District 11,Palm Beach County,"Meetings: Last Saturday, 10:00 AM"
FL Post 0270,,119 Howes St,Port Orange,FL,32127,United States,29.1272593,-80.9808201,386-888-0270,,americanlegionpost270fl@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0270-port-orange,,,,Default,,0,105,Northern Area,District 17,Volusia County,Legion Executive Committee Meeting - Meets the Last Sunday of each month at 3:00 PM Legion General Meeting - Meets the 1st Sunday of Each Month at 3:00 PM
FL Post 0269,,,Lantana,FL,33462,United States,26.5865308,-80.052166,561-667-3315,,USNDMA@AOL.COM,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0269-lantana,,,,Default,,0,106,Southern Area,District 11,Palm Beach County,"Meetings: Third Saturday, 1:00 PM"
FL Post 0268,,1690 Avenue H W,Riviera Beach,FL,33404,United States,26.7773356,-80.0638673,561-844-7125,,contact@aml268.org,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0268-riviera-beach,,,,Default,,0,107,Southern Area,District 11,Palm Beach County,"Meetings: Wednesday, 7:15 PM"
FL Post 0267,,156 New Britain Ave,Ormond Beach,FL,32174-5626,United States,29.2846282,-81.0602134,386-672-7678,,info@floridapost267.org,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0267-ormond-beach,,,,Default,,0,108,Northern Area,District 17,Volusia County,"Meetings: Second Thursday, 6:00 PM"
FL Post 0266,,5201 Richardson Rd,Sarasota,FL,34232,United States,27.34235537,-82.46670776,941-371-1326,,ampost266@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0266-sarasota,,,,Default,,0,109,Southwestern Area,District 8,Sarasota County,"Meetings: First Tuesday, 7:00 PM"
FL Post 0259,,470 Summerhaven Dr,Debary,FL,32713-2712,United States,28.8988753,-81.2823517,386-753-1492,,americanlegionflpost@aol.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0259-debary,,,,Default,,0,110,Northern Area,District 17,Volusia County,"Meetings: First Wednesday, 6:30 PM"
FL Post 0258,,501 Swain Blvd,Greenacres,FL,33463,United States,26.628899,-80.125011,561-781-4701,,STANRBROWNJR@GMAIL.COM,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0258-greenacres,,,,Default,,0,111,Southern Area,District 11,Palm Beach County,"Meetings: Third Wednesday, 7:00 PM"
FL Post 0255,,181 Wolf Pack Run,Deltona,FL,32725,United States,28.9435997,-81.2443194,407-222-6625,,postcmdr@al255deltona.org,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0255-deltona,,,,Default,,0,112,Northern Area,District 17,Volusia County,"Meetings: General - First Saturday, 10:00 AM E-Board - Last Sunday, 4:00 PM (Deltona Veterans Museum)"
FL Post 0254,,,North Port,FL,34286,United States,27.07394773,-82.18151518,941-423-7311,,americanlegionnorthport@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0254-north-port,,,,Default,,0,113,Southwestern Area,District 8,Sarasota County,"Meetings: E-Board - Third Wednesday, 6:00 PM | General - Third Wednesday, 7:00 PM"
FL Post 0252,,11433 Park Blvd N,Seminole,FL,33772,United States,27.84319298,-82.79731773,727-391-6324,,alpost252@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0252-seminole,,,,Default,,0,114,Central Area,District 16,Pinellas County,"Meetings: General - Second Tuesday, 7:00 PM | E-Board - Second Tuesday, 6:00 PM"
FL Post 0250,,2608 Black Creek Dr,Middleburg,FL,32068,United States,30.05406228,-81.86807366,904-282-3766,,alpost250@yahoo.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0250-middleburg,,,,Default,,0,115,Northern Area,District 5,Clay County,"Meetings: Third Thursday, 7:30 PM"
FL Post 0248,,3204 W Cypress St,Tampa,FL,33607,United States,27.95199,-82.496218,813-603-4448,,post248tampa@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0248-tampa,,,,Default,,0,116,Central Area,District 15,Hillsborough County,"Meetings: Quarterly, Third Sunday"
FL Post 0246,,1910 S Pebble Beach Blvd,Sun City Center,FL,33573,United States,27.6977733,-82.35038046,,,scc246@hotmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0246-sun-city-center,,,,Default,,0,117,Central Area,District 15,Hillsborough County,"Meetings: Last Friday, 8:30 AM (January - May and September - November)"
FL Post 0244,,2309 Jernigan Rd,Jacksonville,FL,32207,United States,30.27677481,-81.63824638,334-221-0598,,WAYNE.L.FORD4.MIL@ARMY.MIL,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0244-jacksonville,,,,Default,,0,118,Northern Area,District 5,Duval County,"Meetings: Second Tuesday, 6:30 PM | Fourth Saturday, 2:00 PM"
FL Post 0243,,491 W Broadway St,Oviedo,FL,32765-6593,United States,28.6703357,-81.2184798,407-227-5340,,almpost243@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0243-oviedo,,,,Default,,0,119,Eastern Area,District 6,Seminole County,"Meetings: Officers - First Tuesday, 2:00 PM | General - Third Thursday, 2:00 PM"
FL Post 0242,,17142 E Colonial Dr,Orlando,FL,32820-2203,United States,28.55953032,-81.12537714,407-568-3416,,americanlegionpost242@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0242-orlando,,,,Default,,0,120,Eastern Area,District 6,Orange County,"Meetings: E-Board - Second Tuesday, 7:00 PM | General - Third Tuesday, 7:00 PM"
FL Post 0241,,2001 Legion Rd,Sneads,FL,32460,United States,30.710895,-84.911168,850-593-6877,,,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0241-sneads,,,,Default,,0,121,Western Area,District 2,Jackson County,"Meetings: Last Monday, 6:00 PM CST"
FL Post 0240,,8666 Gulf Beach Hwy,Pensacola,FL,32507-2639,United States,30.37166953,-87.32915366,850-455-6111,,adjutant@americanlegionpost240.org,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0240-pensacola,,,,Default,,0,122,Western Area,District 1,Escambia County,"Meetings: Second Tuesday, 6:30 PM"
FL Post 0239,,307 American Legion Rd,Mascotte,FL,34753,United States,28.5773469,-81.8807623,,,donnie1150@centurylink.net,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0239-mascotte,,,,Default,,0,123,Eastern Area,District 6,Lee County,"Meetings: Second Monday, 6:00 PM"
FL Post 0238,,900 Main St,Safety Harbor,FL,34695,United States,27.990712,-82.696799,727-726-9601,,post238@tampabay.rr.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0238-safety-harbor,,,,Default,,0,124,Central Area,District 16,Pinellas County,"Meetings: E-Board - Second Tuesday, 6:00 PM | General - Second Tuesday 7:00 PM"
FL Post 0237,,,Beverly Hills,FL,34465,United States,28.9169245,-82.4581536,352-897-4776,,postamericanlegion237@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0237-beverly-hills,,,,Default,,0,125,Northern Area,District 4,Citrus County,"Meetings: Legion - Fourth Tuesday, 7:00 PM | Auxiliary - Third Tuesday, 7:00 PM | SAL - First Tuesday, 7:00 PM | ALR - First Tuesday, 7:30 PM"
FL Post 0236,,9550 US-27 ALT,Bronson,FL,32621,United States,29.448817,-82.640009,352-486-5003,,floridapost236@yahoo.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0236-bronson,,,,Default,,0,126,Northern Area,District 4,Levy County,"Meetings: First Tuesday, 6:00 PM"
FL Post 0235,,,Ft. Walton Beach,FL,32547,United States,30.44571769,-86.6316197,850-243-0221,,amleg235@gmail.com,,,101,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,fl-post-0235-ft-walton-beach,,,,Default,,0,127,Western Area,District 1,Okaloosa County,"Meetings: E-Board - First Monday, 6:00 PM | General - Second Monday, 6:00 PM | Riders - First Thursday, 7:00 PM | Auxiliary - Second Tuesday, 7:00 PM"
